protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,human,human_worse_label,,human_worse_label,1,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.40208,0.9861511245893354,0.9705033824114604,0.9782646844994861,29164,1051,19785,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,human,human_worse_label,,human_worse_label,2,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.40208,0.9861511245893354,0.9705033824114604,0.9782646844994861,29164,1051,19785,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,human,human_worse_label,,human_worse_label,3,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.40208,0.9861511245893354,0.9705033824114604,0.9782646844994861,29164,1051,19785,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.40166,0.9873881003016964,0.994074590449634,0.9907200635204209,29347,434,20219,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.40002,0.990715319722458,0.992300384980751,0.9915072188639656,29493,474,20033,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.39842,0.9884816753926702,0.9951307665277848,0.9917950770462277,29520,425,20055,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.29882,0.9602371592446993,0.9972558731008634,0.9783964803992383,34034,449,15517,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.30154,0.9595759627051536,0.9966173641971214,0.9777459656428943,33873,468,15659,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.30044,0.9598411580093512,0.9976035148448942,0.9783580871552147,33935,452,15613,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.60028,0.9919531094774489,0.9980342506830145,0.994984388493988,19402,400,30198,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,symmetric,symmetric_0.6,0.6,symmetric_0.6,2,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.5998,0.9914133209561383,0.9971323774591531,0.9942646252057254,19428,409,30163,False
global_local_gmm_pairflip_v1,cifar10,dinov2_vit_b14,symmetric,symmetric_0.6,0.6,symmetric_0.6,3,cuda,50000,e39a8187ca951d70026689e693bdf03c165abd69412a69981d02ebdb4ae905b5,0.8,0.5,20,0.60068,0.9912295217607149,0.9972031697409602,0.994207372736477,19349,436,30215,False
global_local_gmm_pairflip_v1,cifar100,dinov2_vit_b14,human,human_noisy_label,,human_noisy_label,1,cuda,50000,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,0.8,0.5,20,0.402,0.8769459926965213,0.9080099502487562,0.8922076652326946,23291,5897,20812,False
global_local_gmm_pairflip_v1,cifar100,dinov2_vit_b14,human,human_noisy_label,,human_noisy_label,2,cuda,50000,ef58a637e4eefb95d7acdaf17accf5debe19047613be98506bb859c4ba00ec3a,0.8,0.5,20,0.402,0.8769459926965213,0.9080099502487562,0.8922076652326946,23300,5888,20812,False
